age_head,sex_head,edu_group,marital_head,household_size,urban,region,consumption_pc,consumption_per_member,nonfood_share,welfare_ratio,age_group,hh_size_group,education_head,target,welfare_pc,hpline,spline,wgt
15.0,0.0,0,,3.0,0.0,4,9518.8046875,114225.65625,1.0,4.955102466868959,0.0,1.0,1.0,2,151682.90625,30611.45703125,40558.76171875,4554.34181919407
15.0,1.0,0,,2.0,0.0,4,4009.8665364583335,48118.3984375,1.0,2.015913031949205,0.0,0.0,1.0,2,61710.03515625,30611.45703125,40558.76171875,1138.58537903127
15.0,0.0,0,,3.0,0.0,3,5676.892795138889,68122.71354166667,1.0,2.6589217451135596,0.0,1.0,1.0,2,81393.46875,30611.45703125,41684.78515625,873.954607190366
15.0,1.0,0,,3.0,0.0,1,10280.0625,123360.75,1.0,5.6088385003929675,0.0,1.0,1.0,2,171694.71875,30611.45703125,42584.00390625,2525.37602764623
15.0,0.0,0,,6.0,1.0,4,13276.464409722223,159317.57291666666,1.0,5.7930495539290146,0.0,2.0,1.0,2,177333.6875,30611.45703125,43190.125,10380.4432596898
15.0,1.0,0,,7.0,1.0,2,3651.9650297619046,43823.580357142855,1.0,1.7843471086001934,0.0,2.0,1.0,2,54621.46484375,30611.45703125,44187.7421875,1784.15542759191
15.0,0.0,0,,3.0,1.0,3,14750.423611111111,177005.08333333334,1.0,6.367019701186736,0.0,1.0,1.0,2,194903.75,30611.45703125,43537.83203125,7531.34571061014
15.0,0.0,0,,6.0,0.0,3,1511.6787109375,18140.14453125,1.0,0.6856911085552757,0.0,2.0,1.0,0,20990.00390625,30611.45703125,41684.78515625,1747.90921438073
15.0,0.0,0,,6.0,0.0,3,2792.8697916666665,33514.4375,1.0,1.3288511641563943,0.0,2.0,1.0,1,40678.0703125,30611.45703125,41684.78515625,524.372750664097
15.0,0.0,0,,5.0,0.0,3,3194.5645833333333,38334.775,1.0,1.7312446715913785,0.0,1.0,1.0,2,52995.921875,30611.45703125,41684.78515625,1310.9318735401
15.0,0.0,0,,2.0,0.0,4,19484.526041666668,233814.3125,1.0,8.308788593118921,0.0,0.0,1.0,2,254344.125,30611.45703125,40558.76171875,910.868348685363
15.0,0.0,0,,3.0,1.0,1,7548.678819444444,90584.14583333333,1.0,3.9299409573085446,0.0,1.0,1.0,2,120301.21875,30611.45703125,46233.65234375,918.318578365917
15.0,0.0,0,,6.0,0.0,2,3890.043402777778,46680.520833333336,1.0,1.916846135912399,0.0,2.0,1.0,2,58677.453125,30611.45703125,41245.17578125,986.894215676039
15.0,1.0,0,,1.0,0.0,3,8929.643880208334,107155.7265625,1.0,4.052924169399912,0.0,0.0,1.0,2,124065.9140625,30611.45703125,41684.78515625,2621.86374708019
15.0,1.0,0,,1.0,1.0,1,27833.6484375,334003.78125,1.0,10.0,0.0,0.0,1.0,2,384133.15625,30611.45703125,46233.65234375,1562.03021397728
15.0,0.0,0,,4.0,0.0,4,2705.5148111979165,32466.177734375,1.0,1.247898656204217,0.0,1.0,1.0,1,38199.99609375,30611.45703125,40558.76171875,9108.68303225013
15.0,0.0,0,,5.0,0.0,2,9598.677083333334,115184.125,1.0,4.188963410222352,0.0,1.0,1.0,2,128230.2734375,30611.45703125,41245.17578125,888.204769776538
15.0,1.0,0,,5.0,1.0,1,9408.263541666667,112899.1625,1.0,4.397825926337578,0.0,1.0,1.0,2,134623.859375,30611.45703125,46233.65234375,10101.5034400778
15.0,1.0,0,,4.0,0.0,2,2040.2556966145833,24483.068359375,1.0,1.167947611526679,0.0,1.0,1.0,1,35752.578125,30611.45703125,41245.17578125,555.127935251823
15.0,1.0,0,,5.0,0.0,1,5506.477083333333,66077.725,1.0,2.551510215040248,0.0,1.0,1.0,2,78105.4453125,30611.45703125,42584.00390625,1683.58401843082
15.0,0.0,0,12.0,4.0,0.0,1,4024.8994140625,48298.79296875,1.0,1.9222333396669165,0.0,1.0,2.0,2,58842.36328125,30611.45703125,42584.00390625,10101.5041105849
15.0,1.0,0,,4.0,1.0,1,14700.84765625,176410.171875,1.0,7.692558941562551,0.0,1.0,1.0,2,235480.4375,30611.45703125,46233.65234375,951.58450187814
15.0,0.0,0,,6.0,1.0,3,18595.711805555555,223148.54166666666,1.0,8.775261202881428,0.0,2.0,1.0,2,268623.53125,30611.45703125,43537.83203125,1075.90649951912
